region_name,score.AO,score.BD,score.CP,score.CS,score.CW,score.ECO,score.FIS,score.FP,score.HAB,score.ICO,score.Index,score.LE,score.LIV,score.LSP,score.MAR,score.NP,score.SP,score.SPP,score.TR
Global average,77.71,90.38,86.61,79.22,73.54,87.87,50.85,51.55,90.9,66.27,69.97,82.42,76.98,58.56,27.64,44.73,62.42,89.87,47.49
New Caledonia,65.78,88.84,76.48,78.64,79.27,92.61,70.43,66.68,87.81,67.61,81.8,96.31,100,88.49,10.58,99.98,78.05,89.88,87.92
Vanuatu,46.86,90.39,94.46,88.13,68.55,100,52.29,52.27,95.07,59.61,75.29,100,100,1.08,0.07,81.94,30.35,85.71,100
Solomon Islands,45.64,84.73,80.7,74.04,77.5,100,89.47,89.47,84.49,62.54,70.4,100,100,9.28,0,84.1,35.91,84.98,31.87
Palau,61.37,88.27,91.5,64.36,74.79,100,87.05,87.03,89.01,62.77,68,83.05,66.1,28.14,1.65,5.8,45.45,87.52,78.34
Micronesia,47.28,91.27,97.61,92.81,67.62,48.86,83.02,83.02,97.39,57.34,68.73,62.84,76.82,3.32,0,42.4,30.33,85.16,72.13
Taiwan,87.23,91.35,97.89,95.63,45.28,96.85,50.8,45.14,95.28,65.63,66.68,92.06,87.27,23.6,32.66,40.72,44.61,87.41,26.85
Philippines,63.46,82.77,93.18,69.29,57.2,46.71,43.36,37.55,84.94,62.6,61.7,45.19,43.68,37.02,12.86,91.42,49.81,80.6,27.09
Australia,98.37,93.89,89.4,92.92,81.41,100,41.27,29.82,94.48,83.89,78.41,95.62,91.23,100,11.46,51.78,91.95,93.3,58.98
Papua New Guinea,52.48,86.26,89.16,83.8,67.45,100,84.83,84.83,92.16,60.63,61.62,100,100,9.45,0.01,12.4,35.04,80.36,4.74
Fiji,55.41,86.49,98.57,68.83,70.93,82.09,51.8,51.8,88.48,59.08,70.77,68.41,54.72,66.49,0.01,44.51,62.78,84.5,100
Cambodia,66.88,85.46,79.54,75.92,52.85,100,60.57,60.4,89.34,51.05,64.25,74.73,49.46,57.5,22.97,11.62,54.28,81.57,80.83
Thailand,77.53,85.98,82.21,78.78,54.27,100,61.27,59.24,88.69,58.73,70.91,85.7,71.41,49.91,51.89,71.95,54.32,83.27,59.17
Mayotte,53.95,93.29,92.81,92.64,51.34,100,65.82,62.93,96.39,55.04,67.38,100,100,99.96,1.04,0,77.5,90.19,49.29
Seychelles,78.21,93.14,86.35,100,74.89,69.57,39.4,39.4,97.6,64.33,75.95,84.79,100,59.97,0,40.57,62.15,88.68,100
Mauritius,70.51,93.33,90.95,90.66,63.63,71.49,40.44,38.96,95.18,60.2,66.77,72.39,73.29,11.12,2.16,48.02,35.66,91.47,63.57
Sri Lanka,58,92.71,93.67,88.22,58.34,88.76,46.43,45.98,97.15,63.75,63.47,69.04,49.31,14.26,0.42,46.15,39,88.28,43.62
Mozambique,44.16,89.92,81.75,98.85,55.67,100,45.85,45.85,93.92,64.49,67.68,100,100,86.1,0.02,67.54,75.29,85.92,17.77
Madagascar,44.16,85.75,78.42,65.62,60.34,100,47.33,46.09,86.13,61.36,61.78,81.15,62.31,26.13,0.82,82.44,43.75,85.38,30.04
Kenya,61.49,86.98,72.31,92.9,49.69,100,40.29,40.29,87.01,62.69,61.28,98.96,97.93,43.05,0,45.64,52.87,86.95,11.7
Eritrea,57.35,87.21,97.56,85.58,56.48,6.77,50.18,50.18,95.68,56.33,48.48,3.47,0.16,0,0,5.02,28.16,78.75,13.76
Yemen,57.48,89.38,94.68,83.16,65.29,96.49,43.7,43.7,96.75,57.5,63.07,98.25,100,0,0,70.02,28.75,82.01,0
Oman,93.71,92.94,99.23,90.93,64.49,100,60.48,60.44,97.75,56.09,70.33,100,100,16.43,0.2,34.96,36.26,88.13,30.31
Saudi Arabia,100,88.75,93.68,89.2,64.67,100,54.99,51.8,96.83,55.08,65.19,100,100,14.57,0.77,0,34.83,80.66,28.97
Bahrain,96.45,81.56,85.35,86.32,57.54,77.2,31.66,31.65,85.63,49.63,57.57,82.53,87.86,0,0.01,0.03,24.81,77.49,29.44
Pakistan,61.58,78,45.21,45.08,46.41,100,73.17,73.16,70.8,62.97,51.47,84.55,69.09,51.46,0.02,20.56,57.21,85.2,2.97
United Arab Emirates,100,90.49,93.47,92.17,69.82,100,56.38,55.91,98,57.01,76.55,100,100,79.68,0.42,34.65,68.35,82.99,60.63
Senegal,53.91,76.66,30.48,33.65,49.04,100,39.88,39.85,61.84,72.07,49.89,100,100,91.31,0.32,8.24,81.69,91.48,25.39
Estonia,91.81,94.33,42.64,100,65.23,100,97.9,97.9,95,95,71.69,75.53,51.07,100,0,11.4,97.5,93.66,40.51
Russia,84.88,93.44,88.4,100,91.6,100,57.6,57.59,100,75.51,72.52,93.11,86.23,91.9,53.3,22,83.7,86.88,10.53
Ukraine,65.46,91.83,84.12,84.35,59.64,100,53.47,52.65,94.62,62.01,60.65,80.67,61.34,51.2,0.92,27.89,56.6,89.03,3.31
Israel,93.61,91.88,91.23,91.23,32.82,100,42.92,34.71,95.61,63.34,63.3,100,100,9.25,0.74,55.18,36.29,88.15,6.04
South Africa,77.41,90.62,99.63,99.82,56.37,100,66.85,66.56,89.9,70.36,73.69,100,100,92.98,1.06,27.49,81.67,91.35,37.38
Bahamas,85.57,91.27,55.74,99.71,63.73,96.38,65.13,65.13,85.74,72.4,75.77,83.2,70.02,53.92,0,50.15,63.16,96.79,100
Turks and Caicos Islands,85.46,92.17,69.8,74,64.37,95.46,10.74,10.74,87.75,78.42,70.47,95.04,94.62,60.63,0.01,43.56,69.52,96.6,100
Cuba,90.03,87.4,67.31,100,58.39,89.23,38.62,32.6,79.89,70.03,63.32,92.91,96.6,100,1.99,4.79,85.02,94.92,14.74
Dominican Republic,74.1,93.2,96.05,86.42,51.87,98.77,49.27,48.47,92.02,73.23,71.38,83.27,67.77,100,0.29,58.78,86.62,94.37,35.05
Panama,77.42,83.33,66.08,43.08,64.93,100,52.35,48.99,72.28,69.58,64.05,100,100,48.64,9.2,22.52,59.11,94.38,75.09
Costa Rica,70.86,93.7,77.42,68.85,69.62,100,45.16,42.28,94.11,70.79,62.9,76.21,52.42,57.96,7.08,18.27,64.38,93.28,47.43
Nicaragua,57.33,80.79,30.2,9.78,64.89,100,26.19,32.97,68.75,67.77,47.79,79.56,59.12,100,46.07,13.8,83.89,92.83,24.72
Colombia,69.59,80.01,81.35,71.52,62.01,100,35.97,34.87,66.02,67.79,60.24,80.44,60.88,67.02,0.72,39.88,67.4,94,15.3
Honduras,56.51,92.12,95.48,88.67,59.77,100,37.19,30.73,89.99,72.56,67.82,94.01,88.01,100,26.84,44.19,86.28,94.25,30.39
El Salvador,73.96,87.43,62.83,62.59,41.5,100,22.03,20.97,83.89,62.08,53.02,71.18,42.35,98.15,0.71,7.6,80.12,90.97,22.04
Mexico,70.92,91.96,82.01,76.08,63.61,100,26.17,25.7,91.38,65.41,66.37,72.92,45.85,100,18.91,29.08,82.7,92.55,68.65
Guatemala,59.37,93.99,96.46,96.24,33.15,100,34.91,30.57,98.52,72.88,62.25,100,100,91.06,13.22,11.57,81.97,89.47,19.15
Ecuador,69.27,92.86,81.81,78.25,68.23,100,40.91,66.97,95.61,66.32,70.48,100,100,100,100,46.2,83.16,90.1,18.1
Peru,76.42,81.15,56.15,56.03,59.66,45.42,69.29,68.8,71.97,67.07,61.33,63.12,80.81,47.35,18.63,73.08,57.21,90.34,21.71
Venezuela,78.65,87.34,80.79,87.97,62.85,96.68,32.92,30.13,85.64,65.96,59.46,83.66,70.63,79.53,3.73,10.44,72.74,89.04,0
French Polynesia,65.57,94.77,99.57,91.14,91.72,46.16,59.91,58.17,97.59,67.62,78.46,73.08,100,0,25.37,96.84,33.81,91.96,79.94
Samoa,74.5,93.2,95.46,90.5,88.74,82.34,64.76,64.76,96.38,68.63,72.94,42.93,3.52,1.09,0,68.72,34.86,90.02,75.78
Cook Islands,78.25,84.29,90.49,52.78,93.96,58.29,35.82,35.81,79.28,66.24,65.35,47.04,35.79,0.33,0.96,58.89,33.28,89.31,78.69
Tonga,70.85,92.47,94.01,86.84,71.2,99.62,33.65,33.64,97.13,63.89,71.11,99.81,100,3.74,0.08,56.23,33.82,87.81,72.22
New Zealand,95.67,92.69,68.64,64.66,79.18,100,33.73,67.65,90.44,61.5,76.62,100,100,65.45,100,37.7,63.48,94.95,96.56
United States,100,84.03,78.12,61.71,74.72,99.91,54.66,53.34,76.47,69.08,68.05,77.81,55.7,74.83,11.55,38.07,71.96,91.6,40.74
Belize,74.33,78.99,23.78,39.12,68.9,100,30.31,40.43,62.56,70.07,66.5,100,100,100,61.76,54.45,85.03,95.43,100
Jamaica,60.79,86.54,51.5,99.07,44.05,88.53,22.89,22.89,79.38,69.39,58.93,79.55,70.56,83.82,0,2.18,76.61,93.7,66.09
Suriname,71.37,96.51,99.74,99.74,77.75,75.31,27.09,27.05,99.87,72.75,75.26,85.75,96.2,100,0.43,99.69,86.37,93.16,8.64
Brazil,70.82,94.83,97.48,97.69,59.82,100,48.21,44.15,95.57,67.71,66.12,80.12,60.23,100,4.2,4.82,83.86,94.09,27.58
Denmark,98.74,95.37,100,100,53.02,71.84,45.46,43.93,96.5,91.03,74.19,71.12,70.4,100,14.99,46.86,95.51,94.23,37.33
Germany,97.39,93.83,93.92,100,50.79,100,40.87,38.92,92.18,90.46,81.6,91.87,83.73,100,6.72,61.78,95.23,95.49,92.31
Netherlands,98.75,89.98,100,100,45.43,80.39,31.29,33.88,84.87,73.11,71.81,66.99,53.59,100,40.15,31.19,86.56,95.08,65.38
France,95.62,92.4,75.28,67.33,49.16,100,54.05,54.29,90.68,71.5,70.23,81.96,63.91,100,54.94,46.06,85.75,94.12,54.43
United Kingdom,95.93,93.27,74.43,55.52,64.22,96.43,41.11,38.39,91.67,68.09,72.19,90.21,84,100,14.06,68.27,84.04,94.87,57.59
Ireland,100,88.65,55.61,55.63,62.24,100,57.91,57.51,82.67,63.58,68.26,79.61,59.22,99.96,50.92,82.53,81.77,94.64,19.09
Spain,92.59,81.02,53.64,53.66,50.13,100,39.34,48.26,70.29,69.15,65.74,78.77,57.54,100,66.33,50.41,84.58,91.76,64.35
Italy,93.21,91.31,85.65,85.04,51.35,100,42.69,36.85,93.5,71.51,77.71,86.93,73.86,100,21.13,95.08,85.75,89.11,65.96
Iran,78.27,86.67,88.81,87.08,67.55,60.05,43.4,42.7,90.98,54.77,69.95,80.03,100,63.62,25.17,97.47,59.2,82.36,11.7
Nigeria,54.04,70.93,97.32,97.15,36.25,51.96,45.28,45.28,55.31,67.98,54.83,75.98,100,8.85,0,27.54,38.42,86.55,5.41
Tanzania,65.35,80.94,68.03,83.91,54.55,100,66.68,66.44,78.63,62.6,69.67,100,100,100,0.17,66.64,81.3,83.25,29.56
India,50.74,91.32,97.4,86.99,29.33,100,56.83,51.28,95.98,57.65,64.6,69.41,38.82,24.28,12.02,76.19,40.96,86.66,52.41
Bangladesh,60.22,89.58,100,99.94,36.76,100,37.38,34.89,98.16,68.5,68.76,100,100,59.9,21.16,95.38,64.2,80.99,6.66
Myanmar,48.47,85.81,91.01,87.29,51.2,93.95,39.11,38.08,91.73,59.99,64.92,96.97,100,8.7,5.3,87.98,34.35,79.88,28.04
Malaysia,81.93,84.43,93.54,84.16,54.52,71.43,61.42,59.57,87.88,59.18,65.28,79.33,87.24,11.54,16.62,34.41,35.36,80.98,45.57
Vietnam,55.43,83.45,89.31,60.82,44.92,86.3,69.36,63.05,85.16,65.24,63.26,74.17,62.05,84.51,44.36,60,74.88,81.74,26.58
Singapore,100,80.35,82.27,83.01,47.91,100,17.17,7.17,81.84,71.29,58.95,96.36,92.71,0.79,3.44,4.57,36.04,78.87,51.83
China,82.06,80.13,69.99,52.66,34.82,99.63,45.4,81.84,75.24,60.67,62.44,96.52,93.42,16.6,100,54.03,38.63,85.02,33.74
Japan,93.08,93.04,99.95,95.32,62.15,100,57.51,54.1,96.04,64.33,71.46,78.16,56.32,100,30.66,35.37,82.16,90.04,21.26
Gilbert Islands (Kiribati),54.62,90.37,99.49,87.19,64.53,100,84.26,84.25,97.04,65.27,67.81,89.44,78.88,0,0.01,3.59,32.63,83.69,71.96
Egypt,74.5,89.49,97.14,85.42,52.13,100,45.45,36.42,97.61,58.34,67.89,97.83,95.66,71.32,25.07,63.66,64.83,81.37,17.45
Indonesia,56.1,81.85,87.24,66.64,57.59,99.4,58.93,53.96,82.42,64.8,63.57,71.31,43.23,55.3,23.57,85.85,60.05,81.29,15.1
Canada,97.47,93.19,97.74,54.79,94.27,100,29.92,35.32,93.75,67.31,68.23,90.62,81.24,28.26,65.88,35.56,47.79,92.62,35.59
Sweden,98.18,92.82,26.89,61.54,63.59,100,91.14,89.86,90.22,89.92,68.88,100,100,82.81,2.64,32.15,86.37,95.42,37.37
Bonaire,78.71,97.17,99.59,97.16,70.55,80.1,40.87,40.87,97.95,79.32,72.21,72.86,65.62,50.16,0,0.44,64.74,96.39,100
Brunei,100,89.78,97.36,87.15,53.23,76.74,53.11,51.92,95.9,63.44,63.42,78.92,81.09,26.2,6.46,0,44.82,83.65,31.02
